Codigo_Ritual;Nome_Ritual;Descricao_Ritual;Elemento_Ritual;Circulo_Ritual;PE_Ritual;Execucao_Ritual;Alcance_Ritual;Area_Ritual;Alvo_Ritual;Duracao_Ritual;Efeito_Ritual;Resistencia_Ritual;Dados_Ritual;Tem Discente?;Tem Verdadeiro?;Imagem;Requisito_Discente;Requisito_Verdadeiro
31;Dissipar Ritual;"Você dissipa rituais ativos, como se a duração deles tivesse acabado. Efeitos de rituais instantâneos não podem ser dissipados (não se pode dissipar uma área de Paradoxo depois que já causou dano...). Faça um teste de Ocultismo; você anula quaisquer rituais ativos no alvo ou na área com DT igual ou menor que o resultado do teste. Você pode conjurar esse ritual em um item amaldiçoado para que se torne um item mundano (perdendo seus poderes) por um dia. Se o item estiver em posse de alguém, seu usuário pode fazer um teste de Vontade para negar o efeito";Medo;3;6;Padrão;Médio;esfera com 3m de raio;1 ser ou objeto;Instantânea;;Vontade anula;;FALSE;FALSE;;;
32;Dissonância Acústica;"Você manipula a vibração do ar, criando uma área de dissonância sonora. Enquanto estiverem na área, todos os seres ficam surdos. Essa dissonância impede que seres dentro da área conjurem rituais.
*Discente (+1 PE):* muda a área para “alvo: 1 objeto”. Em vez do normal, o alvo emana uma área de silêncio com 3m de raio. Se conjurar o ritual num objeto de um ser involuntário, ele tem direito a um teste de Vontade para anulá-lo.
*Verdadeiro (+3 PE):* muda a duração para cena. Em vez do normal, nenhum som pode deixar a área, mas seres dentro da área podem falar, ouvir e conjurar rituais normalmente.";Energia;2;3/4/6;Padrão;Médio;esfera com 6m de raio/esfera com 3m de raio/;/1 objeto/;Sustentada//Cena;;;;TRUE;TRUE;;;3º círculo
33;Distorção Temporal;"Este ritual distorce o fluxo de tempo em relação a você, criando um pequeno bolsão temporal que dura 3 rodadas. Durante este tempo, você pode agir, mas não pode se deslocar do lugar nem interagir com seres e objetos. Da mesma forma, efeitos contínuos não o afetam, e quaisquer efeitos que você iniciar não afetarão a área ao seu redor. Efeitos de área com duração maior que este efeito vão agir normalmente quando o bolsão temporal acabar.";Morte;4;10;Padrão;Pessoal;;veja texto;veja texto;;;;FALSE;FALSE;;;
34;Distorcer Aparência;"Você modifica sua aparência de modo a parecer outra pessoa. Isso inclui altura, peso, tom de pele, cor de cabelo, timbre de voz, impressão digital, córnea etc. Você recebe +10 em testes de Enganação para disfarce, mas não recebe habilidades da nova forma nem modifica suas demais estatísticas.
*Discente (+2 PE):* muda o alcance para “curto” e o alvo para “1 ser”. Um alvo involuntária pode anular o efeito com um teste de Vontade.
*Verdadeiro (+5 PE):* como em Discente, mas muda o alvo para “seres escolhidos”. Requer 3º círculo.";Sangue;1;1/3/6;Padrão;Pessoal/Curto/Curto;;você/1 ser/seres escolhidos;Cena;;Vontade desacredita;;TRUE;TRUE;;;3º círculo
35;Eco Espiral;"Você manifesta em suas mãos uma pequena cópia do alvo feita de cinzas. No início do próximo turno após conjurar este ritual, você precisa gastar uma ação padrão para se concentrar nele; caso contrário, ele se dissipa sem efeito. No início do segundo turno, você precisa gastar uma ação padrão para descarregá-lo. Se fizer isso, a cópia explode e o alvo sofre dano de Morte igual a quantidade de dano que sofreu na rodada em que você se concentrou (Fortitude reduz à metade). Se não fizer, o ritual se dissipa sem efeito.
*Discente (+3 PE):* muda o alvo para “até 5 seres”.
*Verdadeiro (+7 PE):* muda a duração para “até 3 rodadas”, permitindo que você se concentre nas duas primeiras e descarregue na terceira. Requer 4º círculo e afinidade.";Morte;2;3/6/10;Padrão;Curto;;1 ser/até 5 seres/;2 rodadas//até 3 rodadas;;Fortitude reduz à metade;;TRUE;TRUE;;;4º círculo e afinidade
36;Eletrocussão;"Você manifesta e dispara uma corrente elétrica contra o alvo, que sofre 3d6 pontos de dano de eletricidade e fica vulnerável por uma rodada. Se passar no teste de resistência, sofre apenas metade do dano e evita a condição. Se usado contra objetos eletrônicos, este ritual causa o dobro de dano e ignora resistência.
*Discente (+2 PE):* muda o alvo para “área: linha de 30m”. Você dispara um poderoso raio que causa 6d6 pontos de dano de Energia em todos os seres e objetos livres na área. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda a área para “alvos escolhidos”. Em vez do normal, você dispara vários relâmpagos, um para cada alvo escolhido, causando 8d6 pontos de dano de Energia em cada. Requer 3º círculo.";Energia;1;1/3/6;Padrão;Curto;-/linha de 30m/-;1 ser ou objeto/-/alvos escolhidos;Instantânea;;Fortitude parcial;3d6/6d6/8d6;TRUE;TRUE;;;2º círculo;3º círculo
37;Embaralhar;"Você cria três cópias ilusórias suas, como hologramas extremamente realistas. As cópias ficam ao seu redor e imitam suas ações, tornando difícil para um inimigo saber quem é o verdadeiro. Você recebe +6 na Defesa. Cada vez que um ataque contra você erra, uma das imagens desaparece e o bônus na Defesa diminui em 2. Um oponente deve ver as cópias para ser confundido. Se você estiver invisível, ou o atacante fechar os olhos, você não recebe o bônus (mas o atacante sofre as penalidades normais por não enxergar).
*Discente (+2 PE):* muda o número de cópias para 5 (e o bônus na Defesa para +10). Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o número de cópias para 8 (e o bônus na Defesa para +16). Além do normal, toda vez que uma cópia é destruída, emite um clarão de luz. O ser que destruiu a cópia fica ofuscada por uma rodada. Requer 3º círculo.";Energia;1;1/3/6;Padrão;Pessoal;;você;Cena;;;;TRUE;TRUE;;;2º círculo;3º círculo
38;Enfeitiçar;"Este ritual torna o alvo prestativo (veja a página 45). Ele não fica sob seu controle, mas percebe suas palavras e ações da maneira mais favorável possível. Você recebe um bônus de +10 em testes de Diplomacia com ele. Um alvo hostil ou que esteja envolvido em combate recebe +5 em seu teste de resistência. Se você ou seus aliados tomarem qualquer ação hostil contra o alvo, o efeito é dissipado e o alvo retorna à atitude que tinha antes (ou piorada, de acordo com o mestre).
*Discente (+2 PE):* em vez do normal, você sugere uma ação para o alvo e ele obedece. A sugestão deve ser feita de modo que pareça aceitável, a critério do mestre. Pedir que o alvo atire em seu companheiro, por exemplo, dissipa o efeito. Já sugerir a um guarda que descanse um pouco, de modo que você e seus aliados passem por ele, é aceitável. Quando o alvo executa a ação, o efeito termina. Você pode determinar uma condição específica para a sugestão: por exemplo, que o policial prenda a próxima pessoa de casaco verde que ele encontrar. Requer 2º círculo.
*Verdadeiro (+5 PE):* afeta todos os alvos dentro do alcance. Requer 3º círculo.";Conhecimento;1;1/3/6;Padrão;Curto;;1 pessoa//todos os alvos dentro do alcance;Cena;;Vontade anula;;TRUE;TRUE;;;2º círculo;3º círculo
39;Esconder dos Olhos;"Você fica invisível, incluindo seu equipamento, recebendo camuflagem total e +15 em testes de Furtividade. Como o normal, seres que não possam vê-lo ficam desprevenidos contra seus ataques. O efeito termina se você faz um ataque ou usa uma habilidade hostil. Ações contra objetos livres não dissipam Esconder dos Olhos (você pode tocar ou apanhar objetos que não estejam sendo segurados por outros seres). Causar dano indiretamente — por exemplo, prepar explosivos para detonar mais tarde — não é considerado um ataque. Objetos soltos voltam a ser visíveis e objetos apanhados por você ficam invisíveis. Uma luz transportada nunca fica invisível (mesmo que sua fonte seja). Qualquer parte de um item carregado que se estenda além de seu alcance corpo a corpo natural se torna visível.
*Discente (+3 PE):* muda a duração para “sustentada”. Em vez do normal, você gera uma esfera de invisibilidade. Você e todos os aliados a até 3m de você se tornam invisíveis, como no efeito normal do ritual (ainda ficam visíveis caso façam uma ação hostil). A esfera se move juntamente com você; qualquer coisa que saia da esfera fica visível. Requer 3º círculo.
*Verdadeiro (+7 PE):* muda a execução para “ação padrão”, o alcance para “toque”, o alvo para “1 ser” e a duração para “sustentada”. O efeito não é dissipado caso o alvo faça um ataque ou ação hostil. Requer 4º círculo e afinidade.";Conhecimento;2;3/6/10;Livre//Padrão;Pessoal//Toque;-/esfera de 3m/-;você/você e aliados a até 3m/1 ser;1 rodada/Sustentada/Sustentada;;;;TRUE;TRUE;;;3º círculo;4º círculo e afinidade
40;Espirais da Perdição;"Espirais surgem no corpo do alvo, tornando seus movimentos lentos. O alvo sofre -1d20 em testes de ataque.
*Discente (+2 PE):* muda a penalidade para -2d20. Requer 2º círculo.
*Verdadeiro (+8 PE):* muda a penalidade para -2d20 e o alvo para “seres escolhidos”. Requer 3º círculo.";Morte;1;1/3/9;Padrão;Curto;;1 ser//seres escolhidos;Cena;;;;TRUE;TRUE;;;2º círculo;3º círculo
41;Ferver Sangue;"O sangue do alvo aquece até entrar em ebulição. Quando o ritual é conjurado, e no início de cada turno do alvo, ele deve fazer um teste de Fortitude. Se falhar, sofre 4d8 pontos de dano de Sangue e fica fraco; se passar, sofre metade do dano e não fica fraco nesta rodada. Se o alvo passar nesse teste dois turnos seguidos o efeito termina.
*Verdadeiro (+4 PE):* muda o alvo para “seres escolhidos”. Requer 4º círculo e afinidade.";Sangue;3;6/10;Padrão;Curto;;1 ser/seres escolhidos;Sustentada;;Fortitude parcial;4d8;FALSE;TRUE;;;;4º círculo e afinidade
42;Fim Inevitável;"Você cria um vácuo em um espaço desocupado a sua escolha. No início de cada um de seus quatro turnos seguintes, todos os seres a até 90m do vácuo, incluindo você, devem fazer um teste de Fortitude. Em caso de falha, ficam caídas e são puxadas 30m na direção do vácuo. Objetos soltos também são puxados. Seres podem gastar uma ação de movimento para se segurar em algum objeto fixo, recebendo +5 em seus testes de resistência. Seres e objetos que iniciem seu turno tocando o vácuo temporal sofrem 100 pontos de dano de Morte por rodada.
*Discente (+5 PE):* muda a duração para “5 rodadas” e o efeito para que você não seja afetado. Requer afinidade.
*Verdadeiro (+10 PE):* muda a duração para “6 rodadas” e o efeito para que seres escolhidos dentro do alcance não sejam afetados. Requer afinidade.";Morte;4;10/15/20;Completa;Extremo;;;4 rodadas/5 rodadas/6 rodadas;buraco negro com 1,5m de diâmetro//;Fortitude parcial;;TRUE;TRUE;;afinidade;afinidade
43;Flagelo de Sangue;"Você toca uma pessoa, gravando uma marca escarificada no corpo dela enquanto profere uma ordem, como “não ataque a mim ou meus aliados”, “siga-me” ou “não saia desta sala”. A cada rodada que o alvo desobedecer a ordem, a marca inflige uma dor excruciante, que causa 10d6 pontos de dano de Sangue e deixa o alvo enjoado pela rodada (Fortitude reduz o dano à metade e evita a condição). Se o alvo passar nesse teste dois turnos seguidos a marca desaparece.
*Discente (+3 PE):* muda o alvo para “1 ser (exceto criaturas de Sangue)”. Requer 3º círculo.
*Verdadeiro (+7 PE):* como Discente, e muda a duração para “1 dia”. Requer 4º círculo e afinidade.";Sangue;2;3/6/10;Padrão;Toque;;1 pessoa/1 ser (exceto criaturas de Sangue)/1 ser (exceto criaturas de Sangue);Cena//1 dia;;Fortitude parcial;10d6;TRUE;TRUE;;;3º círculo;4º círculo e afinidade
44;Forma Monstruosa;"Seu corpo se transforma, assumindo uma forma que combina suas características com as de uma criatura de Sangue; suas roupas e proteção se mesclam à sua carne, transformando-se em uma couraça, e quaisquer objetos em suas mãos se fundem aos seus braços, transformando-se em garras pontiagudas. Seu equipamento fica inacessível, mas seus bônus se mantém. Seu tamanho muda para Grande e você recebe +5 em testes de ataque e rolagens de dano corpo a corpo e 30 PV temporários. Enquanto estiver transformado, sua mente é tomada por fúria selvagem; você não pode falar nem conjurar rituais e a cada rodada deve atacar o ser mais próximo possível. Se não houver um ser que possa atacar, deve se deslocar em direção ao ser mais próximo da melhor forma possível. Se o ser mais próximo for um aliado, você pode fazer um teste de Vontade (DT do ritual). Se passar, neste turno você pode escolher qual ser atacar.
*Discente (+3 PE):* além do normal, você recebe imunidade a atordoamento, fadiga, sangramento, sono e veneno. Requer 3º círculo.
*Verdadeiro (+9 PE):* muda os bônus em testes de ataque e rolagens de dano para +10 e os PV temporários para 50. Requer 4º círculo e afinidade.";Sangue;3;6/9/15;Padrão;Pessoal;;você;Cena;;;;TRUE;TRUE;;;3º círculo;4º círculo e afinidade
45;Fortalecimento Sensorial;"Você potencializa seus sentidos, recebendo +1d20 em Investigação, Luta, Percepção e Pontaria.
*Discente (+2 PE):* além do normal, seus inimigos sofrem -1d20 em testes de ataque contra você. Requer 2º círculo.
*Verdadeiro (+5 PE):* além do normal, você apura seus sentidos para perceber qualquer perigo. Você fica imune às condições surpreendido e desprevenido e recebe +10 em Defesa e Reflexo. Requer 4º círculo e afinidade.";Sangue;1;1/3/6;Padrão;Pessoal;;você;Cena;;;;TRUE;TRUE;;;2º círculo;4º círculo e afinidade
46;Hemofagia;"Você arranca o sangue do corpo do alvo através de pele dele, causando 6d6 pontos de dano de Sangue. Você então absorve esse sangue, recuperando pontos de vida iguais à metade do dano causado.
*Discente (+3 PE):* muda a resistência para “nenhuma”. Como parte da execução do ritual, você faz um ataque corpo a corpo contra o alvo. Se acertar, causa o dano do ataque e do ritual, recuperando PV em quantidade igual à metade do dano total causado.
*Verdadeiro (+7 PE):* muda o alcance para “pessoal”, o alvo para “você” e a duração para “cena”. Em vez do normal, a cada rodada você pode gastar uma ação padrão para tocar 1 ser e causar 4d6 pontos de dano de Sangue. Você recupera PV iguais à metade do dano causado. Requer 4º círculo.";Sangue;2;3/6/10;Padrão;Toque//Pessoal;;1 ser//você;Instantânea//Cena;;Fortitude reduz à metade/-/-;6d6//4d6;TRUE;TRUE;;;;4º círculo
47;Inexistir;"Este é um ritual extremamente cruel, que já condenou grandes agentes da Ordem ao oblívio. Você toca o alvo com a intenção de apagá-lo completamente da existência, a mente e o corpo do alvo são reescritos e desmantelados da existência. O alvo começa a levitar a poucos centímetros do chão e textos narrando todos os momentos de sua vida surgem e brilham por cima de sua pele, até que a existência dele começa a ser destruída de dentro, causando 10d12+10 pontos de dano de Conhecimento. Se o alvo passar no teste de resistência, em vez disso sofre 2d12 pontos de dano e fica debilitado por uma rodada. Independentemente do resultado do teste de resistência, se os PV do alvo forem reduzidos a 0 ou menos, ele será completamente apagado, não restando absolutamente nenhum traço de sua existência.
*Discente (+5 PE):* muda o dano para 15d12+15 e o dano resistido para 3d12.
*Verdadeiro (+10 PE):* muda o dano para 20d12+20 e o dano resistido para 4d12. Requer afinidade.";Conhecimento;4;10/15/20;Padrão;Toque;;1 ser;Instantânea;;Vontade parcial;10d12+10/15d12+15/20d12+20;TRUE;TRUE;;;afinidade
48;Invólucro de Carne;"Você manifesta uma poça de sangue no chão, de onde emerge uma cópia sua. Ela é idêntica em aparência e capacidades (em termos de jogo, tem as mesmas estatísticas) e surge com uma cópia de todo equipamento mundano que você estiver carregando. A cópia não tem consciência (valor de Intelecto e Presença nulos) e não age sem que você dê uma ordem. Você pode gastar uma ação de movimento para dar uma ordem à cópia, como “lute contra aquele ser”. No final de cada um de seus turnos, a cópia segue a ordem da melhor maneira possível, mas ainda é incapaz de tomar decisões sozinha e acatará qualquer ordem perigosa sem hesitar, mesmo que leve à sua destruição.
Alternativamente, no início de seu turno, você pode controlar ativamente a cópia. Se fizer isso, você entra num transe temporário e assume o controle da cópia como se fosse seu corpo, usando os sentidos dela. Qualquer ser que interagir com a cópia tem direito a um teste de Percepção (DT do ritual) para perceber que é uma cópia. A cópia se desfaz em uma poça de sangue coagulado se chegar a 0 PV ou sair do alcance.";Sangue;4;10;Padrão;Curto;;;Cena;1 clone seu;;;FALSE;FALSE;;;
49;Lâmina do Medo;"Você manifesta uma lâmina impossível, que pode ser descrita apenas como uma “fenda na Realidade”, com a qual golpeia um alvo adjacente. Se o alvo falhar no teste de Fortitude, seus PV são reduzidos a 0 e ele fica morrendo; se passar, sofre 10d8 pontos de dano de Medo (ignora todas as resistências) e fica apavorado por uma rodada. Se uma pessoa ficar morrendo pela Lâmina do Medo e sobreviver, o ferimento causado pelo ritual passa a se transformar constantemente, jamais cicatrizando e fazendo com que a pessoa passe a viver em dor constante. Aprender este ritual requer um poder de trilha específico.";Medo;4;10;Padrão;Toque;;1 ser;Instantânea;;Fortitude parcial;10d8;FALSE;FALSE;;;
50;Localização;"Esta ritual pode encontrar uma pessoa ou objeto a sua escolha. Você pode pensar em termos gerais (“um policial”, “algo de metal”) ou específicos (“A delegada Joana”, “uma pistola”). O ritual indica a direção e distância da pessoa ou objeto mais próximo desse tipo, caso esteja ao alcance. Você pode movimentar-se para continuar procurando. Procurar algo muito específico (“a chave do armazém 4 no porto”) exige que você tenha em mente uma imagem precisa do objeto; caso a imagem não seja parecida com a verdade, o ritual falha, mas você gasta os PE mesmo assim. Este ritual pode ser bloqueado por uma fina camada de chumbo.
*Discente (+3 PE):* muda o alcance para “toque”, o alvo para “1 pessoa” e a duração para “1 hora”. Em vez do normal, a pessoa tocada descobre o caminho mais direto para entrar ou sair de um lugar. Assim, o ritual pode ser usado para descobrir a rota até o relicário de uma catedral ou a saída mais próxima de uma caverna (mas não para encontrar a localização de uma pessoa ou objeto; funciona apenas em relação a lugares). Caso a pessoa demore mais de uma hora para percorrer o caminho, o conhecimento se perde.
*Verdadeiro (+7 PE):* aumenta a área para círculo de 1km de raio. Requer 4º círculo.";Conhecimento;2;3/6/10;Padrão;Pessoal/Toque/Pessoal;círculo com 90m de raio/-/círculo de 1km de raio;-/1 pessoa/-;Cena/1 hora/Cena;;;;TRUE;TRUE;;;4º círculo
51;Invadir Mente;"Quando conjura este ritual, você gera um dos efeitos a seguir, a sua escolha: rajada mental (usa os primeiros parâmetros do cabeçalho acima) ou ligação telepática (usa os segundos parâmetros).
*Rajada Mental:* você infecta a mente do alvo com o Conhecimento proibido do Outro Lado, dilacerando o cérebro dele. O alvo sofre 6d6 pontos de dano de Conhecimento e fica atordoado por uma rodada. Se passar no teste de Vontade, sofre metade do dano e não fica atordoado. Um mesmo alvo só pode ficar atordoado por este ritual uma vez por cena.
*Ligação Telepática:* você cria um elo mental entre duas pessoas (você pode ser uma delas), que podem se comunicar independente da distância pela duração do ritual (1 dia).
*Discente (+3 PE):* se escolhar rajada mental, aumenta o dano para 10d6. Se escolher ligação telepática, em vez do normal, você cria um elo mental que permite que você veja e ouça pelos sentidos do alvo, gastando uma ação de movimento para se concentrar. Um alvo involuntário pode fazer um teste de Vontade para suprimir o ritual por uma hora. Requer 3º círculo.
*Verdadeiro (+ 7 PE):* se escolher rajada mental, aumenta o dano para 10d6 e muda o alvo para “seres escolhidos”. Se escolher ligação telepática, você pode criar um vínculo mental entre até 5 pessoas.";Conhecimento;2;3/6/10;Padrão;Médio ou toque;;1 ser ou 2 pessoas voluntárias//seres escolhidos ou até 5 pessoas;Instantânea ou 1 dia;;Vontade parcial ou nenhuma;6d6/10d6/10d6;TRUE;TRUE;;;3º círculo;
52;Luz;"O alvo emite luz de cores alternadas e brilhantes (mas não produz calor) em uma área com 9m de raio. O objeto pode ser guardado (em um bolso, por exemplo) para interromper a luz, que voltará a funcionar caso o objeto seja revelado. Se o alvo for um objeto em posse de uma pessoa involuntária, ela tem direito a um teste de Vontade para anular o efeito.
*Discente (+2 PE):* muda o alcance para longo e o efeito para 4 esferas brilhantes. Cria esferas flutuantes de pura luz com 10cm de diâmetro, que você pode posicionar onde quiser dentro do alcance. Você pode enviar uma esfera à frente, outra para trás, outra para cima e manter uma perto de você, por exemplo. Uma vez por rodada, você pode mover as esferas com uma ação livre. Cada esfera ilumina uma área de 6m de raio, mas não produz calor. Se uma esfera ocupar o espaço de um ser, ele fica ofuscada e sua silhueta pode ser vista claramente (ela não recebe camuflagem por escuridão ou invisibilidade). Requer 2º círculo.
*Verdadeiro (+5 PE):* a luz é cálida como a do sol. Dentro da área seus aliados recebem +1d20 em testes de Vontade, e seus inimigos ficam ofuscados. Requer 3º círculo";Energia;1;1/3/6;Padrão;Curto/Longo/Curto;;1 objeto/-/1 objeto;Cena;-/4 esferas brilhantes/-;Vontade anula (veja texto);;TRUE;TRUE;;;2º círculo;3º círculo
53;Medo Tangível;"O ritual transforma seu corpo em uma manifestação do Medo, tornando-o imune a efeitos mundanos. Você fica imune às condições atordoado, cego, debilitado, enjoado, envenenado, exausto, fatigado, fraco, lento, ofuscado e paralisado, além de doenças e venenos, e não sofre dano adicional por acertos críticos e ataques furtivos. Além disso, dano do tipo balístico, corte, impacto ou perfuração não podem reduzir seu total de pontos de vida abaixo de 1, tornando-o virtualmente imortal contra efeitos mundanos.";Medo;4;10;Padrão;Pessoal;;você;Cena;;;;FALSE;FALSE;;;
54;Mergulho Mental;"Você mergulha nos pensamentos do alvo, para descobrir informações sobre ele. Durante o mergulho, você fica desprevenido. No início de cada turno seu que estiver sustentando o efeito e tocando o alvo, ele deve fazer um teste de Vontade. Se falhar, deve responder uma pergunta sua que possa ser respondida com “sim” ou “não”, sendo incapaz de mentir. O que você descobre depende das suas perguntas e do mestre: talvez você não descubra tudo que há para saber, mas ganhe pistas para continuar a investigação.
*Verdadeiro (+4 PE):* muda a execução para 1 dia, o alcance para ilimitado e adiciona como componente ritualístico uma cuba de ouro cheia d’água e uma máscara (acessório de categoria II). Você pode realizar o mergulho mental à distância, submergindo seu rosto mascarado na água enquanto mentaliza o alvo. Para que esse ritual funcione, você precisa ter alguma informação sobre o alvo, como nome completo, e um objeto pessoal ou fotografia. Requer 4º círculo.";Conhecimento;3;6/10;Padrão/1 dia;Toque/Ilimitado;;1 pessoa;Sustentada;;Vontade parcial (veja texto);;FALSE;TRUE;;;;4º círculo
55;Miasma Entrópico;"Cria uma explosão de emanações tóxicas. Seres na área sofrem 4d8 pontos de dano químico e ficam enjoados por 1 rodada. Se passarem na resistência, sofrem metade do dano e não ficam enjoados.
*Discente (+3 PE):* muda o dano para 6d8 de Morte.
*Verdadeiro (+7 PE):* muda a duração para 3 rodadas. Um ser que inicie seu turno dentro da área sofre o dano novamente. Requer 3º círculo.";Morte;2;3/6/10;Padrão;Médio;nuvem com 6m de raio;;Instantânea//3 rodadas;;Fortitude parcial (veja texto);4d8/6d8/4d8;TRUE;TRUE;;;;3º círculo
56;Nuvem de Cinzas;"Uma nuvem de fuligem espessa eleva-se de um ponto a sua escolha, obscurecendo toda a visão — seres a até 1,5m têm camuflagem e seres a partir de 3m têm camuflagem total. Um vento forte dispersa a nuvem em 4 rodadas e um vendaval a dispersa em 1 rodada. A nuvem não funciona sob a água.
*Discente (+2 PE):* você pode escolher seres no alcance ao conjurar o ritual; eles enxergam através do efeito. Requer 2º círculo.
*Verdadeiro (+5 PE):* além do normal, a nuvem fica espessa, quase sólida. Qualquer ser dentro dela tem seu deslocamento reduzido para 3m (independentemente de seu deslocamento normal) e sofre –2 em testes de ataque. Requer 3º círculo.";Morte;1;1/3/6;Padrão;Curto;;;Cena;nuvem com 6m de raio e 6m de altura;;;TRUE;TRUE;;;2º círculo;3º círculo
57;Ódio Incontrolável;"O alvo entra em um frenesi, aumentando sua agressividade e capacidade de luta. Ele recebe +2 em testes de ataque e rolagens de dano corpo a corpo e resistência a balístico, corte, impacto e perfuração 5. Enquanto o efeito durar, o alvo não pode fazer nenhuma ação que exige calma e concentração (como usar a perícia Furtividade ou conjurar rituais), e deve sempre atacar um alvo em sua rodada, mesmo que seja um aliado se ele for o único a seu alcance.
*Discente (+2 PE):* além do normal, sempre que o alvo usar a ação agredir, pode fazer um ataque corpo a corpo adicional contra o mesmo alvo.
*Verdadeiro (+5 PE):* muda o bônus de ataque e dano para +5 e o alvo passa a sofrer apenas metade do dano dos tipos balístico, corte, impacto e perfuração. Requer 3º círculo e afinidade.";Sangue;1;1/3/6;Padrão;Toque;;1 pessoa;Cena;;;;TRUE;TRUE;;;;3º círculo e afinidade
